分类,变量名,说明,示例值,数据类型
订单信息,{{orderNumber}},订单编号,ORD20240101001,文本
订单信息,{{projectName}},项目名称,建筑工地A项目,文本
订单信息,{{projectAddress}},项目地址,广东省深圳市南山区XX路123号,文本
订单信息,{{startDate}},开始日期,2024/01/01,日期
订单信息,{{endDate}},结束日期,2024/03/31,日期
订单信息,{{totalDays}},租赁天数,90,数字
订单信息,{{totalAmount}},租金总额,"50,000.00",金额
订单信息,{{deposit}},押金金额,"10,000.00",金额
订单信息,{{remarks}},备注说明,需要夜间施工，请提前安排,文本
客户信息,{{customerName}},客户名称,深圳建筑有限公司,文本
客户信息,{{customerContactPerson}},联系人,张三,文本
客户信息,{{customerPhone}},联系电话,13800138000,文本
客户信息,{{customerAddress}},客户地址,广东省深圳市福田区XX路88号,文本
客户信息,{{customerIdCard}},身份证号,440300199001011234,文本
设备列表,{{#each equipments}},开始循环,（必须配对使用）,循环开始
设备列表,{{index}},序号,1,数字
设备列表,{{code}},设备编号,EQ2024001,文本
设备列表,{{customCode}},自定义编号,A-001,文本
设备列表,{{model}},设备型号,曲臂车16米,文本
设备列表,{{brand}},设备品牌,吉尼,文本
设备列表,{{category}},设备类别,高空车,文本
设备列表,{{height}},作业高度,16米,文本
设备列表,{{dailyRate}},日租金,"1,200.00",金额
设备列表,{{monthlyRate}},月租金,"30,000.00",金额
设备列表,{{quantity}},数量,1,数字
设备列表,{{/each}},结束循环,（必须配对使用）,循环结束
进场退场,{{entryDate}},进场日期,2024/01/05,日期
进场退场,{{entryAddress}},进场地址,深圳市XX工地,文本
进场退场,{{entryContact}},进场联系人,李四,文本
进场退场,{{entryPhone}},联系电话,13900139000,文本
进场退场,{{exitDate}},退场日期,2024/03/31,日期
物流信息,{{driverName}},司机姓名,王五,文本
物流信息,{{driverPhone}},司机电话,13700137000,文本
物流信息,{{vehiclePlate}},车牌号,粤B12345,文本
物流信息,{{logisticsCost}},物流费用,"3,000.00",金额
系统信息,{{createdAt}},创建日期,2024/12/16,日期
系统信息,{{createdBy}},创建人,admin,文本
财务信息,{{paidAmount}},已付金额,"30,000.00",金额
财务信息,{{remainingAmount}},剩余金额,"20,000.00",金额
财务信息,{{rentFee}},租金,"45,000.00",金额
财务信息,{{transportFee}},运费,"3,000.00",金额
财务信息,{{serviceFee}},服务费,"2,000.00",金额
公司信息,{{companyName}},公司名称,XXX高空车租赁公司,文本
公司信息,{{companyAddress}},公司地址,广东省深圳市XX区XX路XX号,文本
公司信息,{{companyPhone}},公司电话,0755-12345678,文本
公司信息,{{bankName}},开户行,中国银行深圳分行,文本
公司信息,{{bankAccount}},银行账号,6217XXXXXXXXXXXX,文本
